iter	Passed	Remaining
349	673	1251
350	675	1248
351	676	1245
352	677	1242
353	678	1238
354	679	1235
355	681	1232
356	682	1228
357	684	1227
358	686	1226
359	688	1224
360	691	1223
361	693	1221
362	694	1218
363	695	1214
364	696	1211
365	698	1209
366	700	1207
367	701	1205
368	702	1202
369	704	1199
370	705	1196
371	706	1193
372	708	1190
373	709	1187
374	710	1184
375	711	1180
376	713	1178
377	714	1176
378	716	1173
379	717	1170
380	719	1168
381	720	1165
382	721	1162
383	722	1159
384	724	1156
385	725	1153
386	726	1150
387	728	1148
388	729	1146
389	731	1143
390	732	1141
391	734	1138
392	735	1135
393	736	1132
394	737	1130
395	739	1127
396	740	1124
397	741	1121
398	744	1121
399	745	1118
400	746	1115
401	747	1112
402	749	1109
403	750	1106
404	751	1103
405	752	1101
406	753	1098
407	754	1095
408	756	1092
409	758	1091
410	759	1088
411	760	1085
412	761	1082
413	763	1080
414	764	1077
415	765	1074
416	766	1071
417	767	1068
418	768	1066
419	770	1063
420	771	1060
421	772	1058
422	774	1055
423	775	1053
424	776	1050
425	777	1048
426	778	1045
427	779	1042
428	780	1039
429	782	1036
430	783	1034
431	784	1031
432	785	1028
433	787	1026
434	789	1024
435	790	1022
436	791	1019
437	792	1017
438	794	1014
439	795	1012
440	796	1009
441	804	1016
442	806	1013
443	807	1010
444	808	1008
445	809	1005
446	810	1003
447	812	1000
448	813	998
449	814	995
450	816	993
451	817	991
452	819	989
453	821	987
454	822	985
455	823	982
